major,course,related
Chiropractic Assistant/Technician,"[u'Accounting', u'Chiropractic Procedure', u'Ethics', u'Law', u'Management', u'Media Studies', u'Office Administration']","[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Clinical/Medical Laboratory Assistant,"[u'Clinical Procedure', u'Communications Skills', u'Computer Technology', u'Health and Safety', u'Mathematics']","[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Emergency Care Attendant (EMT Ambulance),"[u'Ambulance Operations', u'Anatomy', u'CPR', u'Health', u'Physiology']","[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Lactation Consultant,"[u'Anatomy', u'Breastfeeding Techniques', u'Breastfeeding Technology', u'Nutrition', u'Physiology']","[u'Allied Health Diagnostic, Intervention, and Treatment Professions', u'Cardiovascular Technology/Technologist', u'Electrocardiograph Technology/Technician', u'Electroneurodiagnostic/Electroencephalographic Technology/Technologist', u'Emergency Medical Technology/Technician (EMT Paramedic)', u'Medical Radiologic Technology/Science - Radiation Therapist', u'Nuclear Medical Technology/Technologist', u'Perfusion Technology/Perfusionist', u'Respiratory Care Therapy/Therapist', u'Speech-Language Pathology Assistant', u'Surgical Technology/Technologist']"
Medical/Clinical Assistant,[],"[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Occupational Therapist Assistant,[],"[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Pathology/Pathologist Assistant,[],"[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Pharmacy Technician/Assistant,[],"[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Physical Therapy Technician/Assistant,[],"[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Radiologist Assistant,[],"[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Respiratory Therapy Technician/Assistant,[],"[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
Speech-Language Pathology Assistant,[],"[u'Allied Health Diagnostic, Intervention, and Treatment Professions', u'Cardiovascular Technology/Technologist', u'Electrocardiograph Technology/Technician', u'Electroneurodiagnostic/Electroencephalographic Technology/Technologist', u'Emergency Medical Technology/Technician (EMT Paramedic)', u'Lactation Consultant', u'Medical Radiologic Technology/Science - Radiation Therapist', u'Nuclear Medical Technology/Technologist', u'Perfusion Technology/Perfusionist', u'Respiratory Care Therapy/Therapist', u'Surgical Technology/Technologist']"
Veterinary/Animal Health Technology/Technician and Veterinary Assistant,[],"[u'Allied Health and Medical Assisting Services', u'Anesthesiologist Assistant', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant']"
Athletic Training/Trainer,"[u'Biology', u'Kinesiology', u'Mathematics', u'Psychology', u'Sociology']","[u'Cardiopulmonary Technology/Technologist', u'Diagnostic Medical Sonography/Sonographer and Ultrasound Technician', u'Gene/Genetic Therapy', u'Physician Assistant', u'Radiation Protection/Health Physics Technician', u'Radiologic Technology/Science - Radiographer']"
Cardiopulmonary Technology/Technologist,"[u'Anatomy', u'Pharmacology', u'Physiology']","[u'Athletic Training/Trainer', u'Diagnostic Medical Sonography/Sonographer and Ultrasound Technician', u'Gene/Genetic Therapy', u'Physician Assistant', u'Radiation Protection/Health Physics Technician', u'Radiologic Technology/Science - Radiographer']"
Cardiovascular Technology/Technologist,"[u'Data Analysis', u'Diagnostic Procedures', u'Ethics']","[u'Allied Health Diagnostic, Intervention, and Treatment Professions', u'Electrocardiograph Technology/Technician', u'Electroneurodiagnostic/Electroencephalographic Technology/Technologist', u'Emergency Medical Technology/Technician (EMT Paramedic)', u'Lactation Consultant', u'Medical Radiologic Technology/Science - Radiation Therapist', u'Nuclear Medical Technology/Technologist', u'Perfusion Technology/Perfusionist', u'Respiratory Care Therapy/Therapist', u'Speech-Language Pathology Assistant', u'Surgical Technology/Technologist']"
Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,"[u'Applied Anatomy', u'Applied Biology', u'Applied Physiology', u'Data Processing', u'Ultrasound Techniques']","[u'Athletic Training/Trainer', u'Cardiopulmonary Technology/Technologist', u'Gene/Genetic Therapy', u'Physician Assistant', u'Radiation Protection/Health Physics Technician', u'Radiologic Technology/Science - Radiographer']"
Electrocardiograph Technology/Technician,"[u'Anatomy', u'Equipment Operation', u'Ethics', u'Management', u'Physiology', u'Record Keeping']","[u'Allied Health Diagnostic, Intervention, and Treatment Professions', u'Cardiovascular Technology/Technologist', u'Electroneurodiagnostic/Electroencephalographic Technology/Technologist', u'Emergency Medical Technology/Technician (EMT Paramedic)', u'Lactation Consultant', u'Medical Radiologic Technology/Science - Radiation Therapist', u'Nuclear Medical Technology/Technologist', u'Perfusion Technology/Perfusionist', u'Respiratory Care Therapy/Therapist', u'Speech-Language Pathology Assistant', u'Surgical Technology/Technologist']"
Electroneurodiagnostic/Electroencephalographic Technology/Technologist,"[u'Data Analysis', u'Physiology', u'Psychology', u'Research Methods']","[u'Allied Health Diagnostic, Intervention, and Treatment Professions', u'Cardiovascular Technology/Technologist', u'Electrocardiograph Technology/Technician', u'Emergency Medical Technology/Technician (EMT Paramedic)', u'Lactation Consultant', u'Medical Radiologic Technology/Science - Radiation Therapist', u'Nuclear Medical Technology/Technologist', u'Perfusion Technology/Perfusionist', u'Respiratory Care Therapy/Therapist', u'Speech-Language Pathology Assistant', u'Surgical Technology/Technologist']"
Emergency Medical Technology/Technician (EMT Paramedic),"[u'Ambulance Operations', u'Anatomy', u'CPR', u'Health', u'Pathology', u'Physiology', u'Toxicology']","[u'Allied Health Diagnostic, Intervention, and Treatment Professions', u'Cardiovascular Technology/Technologist', u'Electrocardiograph Technology/Technician', u'Electroneurodiagnostic/Electroencephalographic Technology/Technologist', u'Lactation Consultant', u'Medical Radiologic Technology/Science - Radiation Therapist', u'Nuclear Medical Technology/Technologist', u'Perfusion Technology/Perfusionist', u'Respiratory Care Therapy/Therapist', u'Speech-Language Pathology Assistant', u'Surgical Technology/Technologist']"
Gene/Genetic Therapy,"[u'Bioethics', u'Biology', u'Genetics', u'Management', u'Pharmacology']","[u'Athletic Training/Trainer', u'Cardiopulmonary Technology/Technologist', u'Diagnostic Medical Sonography/Sonographer and Ultrasound Technician', u'Physician Assistant', u'Radiation Protection/Health Physics Technician', u'Radiologic Technology/Science - Radiographer']"
